2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 24655575
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=56] with future log sequence number 24654568
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=385] with future log sequence number 24654568
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=55] with future log sequence number 24653412
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=422] with future log sequence number 24653412
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=54] with future log sequence number 24653045
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=384] with future log sequence number 24653045
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=52] with future log sequence number 24652054
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=4] with future log sequence number 24659594
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=445] with future log sequence number 24652054
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=51] with future log sequence number 24651283
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 24659422
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=331] with future log sequence number 24651283
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=50] with future log sequence number 24650980
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=76, page number=3] with future log sequence number 24650909
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=76, page number=2] with future log sequence number 24650909
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=12] with future log sequence number 24659483
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=11] with future log sequence number 24659488
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=308] with future log sequence number 24659428
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=307] with future log sequence number 24659434
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=440] with future log sequence number 24659500
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=9] with future log sequence number 24659451
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=8] with future log sequence number 24659472
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=379] with future log sequence number 24650980
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=192] with future log sequence number 24659935
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=337] with future log sequence number 24660315
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=76, page number=3] with future log sequence number 24660335
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=7] log sequence number 24650423 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=2] log sequence number 22406252 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=11] log sequence number 24659488 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=6] log sequence number 24428752 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=417] log sequence number 24428752 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=45] log sequence number 24602655 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=372] log sequence number 24602655 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Page [page id: space=0, page number=46] log sequence number 24647819 is in the future! Current system log sequence number 300306.
2024-08-13  8:28:41 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
